"Reporting starts","Reporting ends","Ad name","Ad delivery",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (EUR)","Unique link clicks","Unique CTR (link click-through rate)","CPC (cost per link click) (EUR)","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Content views","Cost per content view (EUR)",Leads,"Cost per lead (EUR)",Results,"Result indicator","Cost per results","Amount spent (EUR)","Ad set budget","Ad set budget type","Date created","Last significant edit","Campaign name","Ad set name"
2025-12-01,2025-12-14,,0,1284571,612635,2.096797,5.253832,,1.51232,,,,,,,,00:00:00,,,,,,,,6748.92,0,0,0,0,,
2025-12-01,2025-12-14,ad_1,not_delivering,3617,2838,1.274489,14.506497,27,0.951374,1.943333,583,45,20,14,10,10,3,,,1,52.47,,,,52.47,15,Daily,2025-11-06,0,"Test LDP","M/F_25-45_ADV+: ad_1"
2025-12-01,2025-12-14,ad_situazione_particolare,inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0,"Test LDP","M/F_25-45_ADV+: ad_situazione_particolare"
2025-12-01,2025-12-14,ad_2,inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0,"Test LDP","M/F_25-45_ADV+: ad_2"
2025-12-01,2025-12-14,ad_5,inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0,"Test LDP","M/F_25-45_ADV+: ad_5"
2025-12-01,2025-12-14,ad_3,active,32462,24593,1.319969,6.420738,207,0.841703,0.973972,5552,504,310,187,106,83,4,,,25,8.3372,13,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,16.03307692,208.43,15,Daily,2025-11-06,0,"Test LDP","M/F_25-45_ADV+: ad_3"
2025-12-01,2025-12-14,ad_7,not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0,"Test LDP","M/F_25-45_ADV+: ad_7"
2025-12-01,2025-12-14,ad_4,active,17419,11556,1.507355,12.057523,111,0.96054,1.795128,2190,197,102,69,38,32,3,,,14,15.002143,4,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,52.5075,210.03,15,Daily,2025-11-06,0,"Test LDP","M/F_25-45_ADV+: ad_4"
2025-12-01,2025-12-14,ad_6,not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0,"Test LDP","M/F_25-45_ADV+: ad_6"
2025-12-01,2025-12-14,"VIDEO_AD_ALESSIA_PASCARELLA_-_LANCIO_2_STORE_NEW - Copy",active,42243,29910,1.412337,3.289776,353,1.180207,0.387103,11407,1439,739,517,301,270,5,,,11,12.633636,11,conversions:offsite_conversion.fb_pixel_custom.generate_lead,12.63363636,138.97,"Using campaign budget",0,2025-11-10,0,"RET | CBO | 25% VV video lungo > VSL","M/F_25-45_ADV+:  best creative"
